recordIdentifier,rc,ticker,crncy,securityTyp,name,lastUpdateDt,idBbCompany,pricingSource,pxLast,chgPct1D,chgPct3D,chgPct5D,chgPct1M,chgPct3M,chgPct6M,chgPctYtd,chgPctMovAvg5D,chgPctMovAvg20D,chgPctMovAvg50D,chgPctMovAvg100D,waccNetOperProfit,eqyRawBeta6M,volatility10D,volatility30D,volatility180D,volatility360D,lqaLiquidationConfidence,lqaLiquidityScore,lqaMarketRiskFlag,bdvdNextProjAct,bdvdProjDivAmt,returnComEqy,retrnOnCommnEqtyAdjstd,returnOnInvCapital,waccTotalInvCapital,bestPeRatio,bestTargetPrice,degreeFinancialLeverage,degreeOperatingLeverage,ebitda,ebitdaToRevenue,currentEvToT12mEbitda,netIncome,cfNetInc,cfFreeCashFlow,freeCashFlowEquity,freeCashFlowMargin,salesRevTurn,operMargin,freeCashFlowPerSh,esgLinkedBonus,industryGroup,curMktCap,dvdPayoutRatio,effTaxRate,totDebtToTotAsset,totDebtToComEqy
BBG000BKZB36,0,HD,USD,Common Stock,HOME DEPOT INC,2022-01-26,100743,US,357.280000,-0.474,2.343,-0.670,-10.021,-3.229,7.881,-13.911,0.294,-7.685,-9.735,-3.787,22298.00,0.874,36.380,28.062,20.574,21.699,49.774,98,true,INCREASE,1.7,1240.31,,37.96,46488.00,22.451,413.129,1.08,0.77,21566.00,16.32,16.35,12866.00,12866.00,16376.00,20463.00,12.40,132110.00,13.84,15.25,false,Retail,373085.77,50.09,24.22,61.61,1318.22
BBG000J7Q1L9,0,HLX,USD,Common Stock,HELIX ENERGY SOLUTIONS GROUP,2022-01-26,194556,US,3.610000,-1.096,8.735,2.266,6.805,-12.379,-21.692,15.705,4.095,4.320,6.830,-1.843,-20.98,1.873,63.652,63.336,60.324,68.299,49.534,58,true,,,-1.86,1.21,-0.82,2096.22,,4.685,-0.80,-33.12,210.19,28.65,3.46,22.17,22.17,78.56,39.33,10.71,733.55,1.78,0.53,false,Oil&Gas Services,544.71,0.0,,20.10,28.85
BBG000DSQ7R0,0,HVRRY,USD,ADR,HANNOVER RUECKVERSICHER-ADR,2022-01-26,153902,US,97.100000,1.953,1.442,-1.451,2.448,6.458,14.572,4.521,1.097,-0.267,3.506,4.903,1050.06,0.593,23.028,23.512,21.107,25.629,49.822,50,true,,,9.64,8.25,10.49,77112.72,8.425,89.450,,,,,,883.07,883.07,3034.44,3216.47,12.76,23779.31,4.73,,false,Insurance,23419.96,61.46,18.25,4.80,31.21
BBG000C1FB75,0,ICE,USD,Common Stock,INTERCONTINENTAL EXCHANGE IN,2022-01-26,7004138,US,122.150000,-1.452,-2.778,-2.909,-10.078,-8.652,1.428,-10.689,-2.567,-6.811,-7.923,-5.452,3349.00,0.748,17.421,18.051,16.574,18.764,49.871,99,true,INCREASE,0.36,15.07,11.78,6.86,36201.00,22.554,155.222,1.13,0.84,3852.00,63.82,18.90,2089.00,2089.00,2471.00,11167.00,40.94,6036.00,50.25,4.48,false,Diversified Finan Serv,68819.84,32.02,23.79,13.41,86.81
BBG00PC1H1T6,0,IDNA,USD,ETP,ISHARES GEN-IMMUNOLOGY HLTH,2022-01-26,64816595,US,34.470000,-0.948,-0.920,-3.337,-24.308,-30.853,-29.441,-21.319,-1.923,-12.527,-20.580,-26.926,,1.015,31.240,31.433,27.459,30.713,49.770,92,true,,,,,,,,,,,,,,,,,,,,,,,,244.74,,,,
BBG006G063F9,0,INFO,USD,Common Stock,IHS MARKIT LTD,2022-01-26,40236661,US,112.180000,-0.647,-4.649,-5.866,-15.591,-12.530,-1.545,-15.603,-4.206,-10.107,-12.475,-10.555,1561.20,1.154,22.646,23.542,22.115,23.903,49.828,97,true,MAINTAIN,0.2,13.39,12.37,9.39,14988.60,31.591,134.571,1.16,4.14,2147.90,46.11,23.02,1206.80,1206.80,1191.90,973.50,25.59,4658.10,33.52,2.99,false,Commercial Services,44768.84,26.42,10.09,29.31,52.24
BBG000BWDVW8,0,IWV,USD,ETP,ISHARES RUSSELL 3000 ETF,2022-01-26,1414411,US,251.270000,-0.436,-1.168,-4.253,-8.828,-7.174,-3.982,-9.452,-2.163,-6.891,-7.556,-6.531,,0.992,14.203,17.440,13.173,15.278,49.887,100,true,CUT,0.805221,,,,,,,,,,,,,,,,,,,,,,11596.11,,,,
BBG00JRVTQX5,0,KARS,USD,ETP,KRANESHARES ELECTRIC VEHICLE,2022-01-26,58699585,US,42.160000,0.934,-3.058,-5.703,-10.661,-13.857,-4.636,-9.934,-2.888,-8.250,-11.968,-10.744,,1.091,21.937,28.900,25.645,27.683,49.725,89,true,INCREASE,0.557667,,,,,,,,,,,,,,,,,,,,,,324.63,,,,
BBG0019RG812,0,KBWD,USD,ETP,INVESCO KBW HIGH DIVIDEND YI,2022-01-26,22574562,US,19.700000,-0.253,-0.253,-3.289,-2.427,-7.250,-3.289,-2.860,-1.005,-3.656,-3.500,-4.504,,1.012,13.922,16.806,15.771,18.934,49.889,97,true,CUT,0.081523,,,,,,,,,,,,,,,,,,,,,,483.04,,,,
BBG000CTY4J6,0,KW,USD,Common Stock,KENNEDY-WILSON HOLDINGS INC,2022-01-26,12443014,US,21.940000,-1.349,-1.260,-3.476,-6.359,-2.920,9.865,-8.124,-1.632,-6.813,-5.105,-3.084,149.80,0.828,21.567,20.612,21.178,26.653,49.836,87,true,MAINTAIN,0.24,33.15,-10.99,1.63,7212.00,12.830,26.500,-0.11,-4.12,200.60,44.49,24.80,110.10,110.10,-276.80,843.10,-61.39,450.90,4.66,-1.98,false,Real Estate,3055.90,135.74,28.80,69.66,379.75
BBG00W0KZD98,0,LI,USD,ADR,LI AUTO INC - ADR,2022-01-26,68442261,US,25.090000,-1.337,-10.072,-14.252,-17.521,-24.154,-18.460,-21.838,-9.768,-15.267,-18.150,-16.748,-1120.36,1.503,41.161,61.760,65.823,80.102,49.473,89,true,,,-1.67,,-2.50,49060.37,,46.355,,0.02,-348.34,-3.68,,-151.66,-151.66,2464.62,-7935.21,26.06,9456.61,-7.08,5.67,,Auto Manufacturers,25914.40,,,5.81,7.09
BBG000F1ZSQ2,0,MA,USD,Common Stock,MASTERCARD INC - A,2022-01-26,1750153,US,344.660000,1.742,-2.935,-4.455,-4.415,-3.543,-12.256,-4.080,-2.528,-5.258,-1.685,-1.277,9267.00,1.199,27.542,27.950,28.644,30.432,49.819,97,true,MAINTAIN,0.49,129.50,105.23,39.83,20566.00,35.134,430.222,1.05,-1.75,8784.00,57.41,34.57,6411.00,6411.00,6885.00,10844.00,45.00,15301.00,52.81,6.87,false,Diversified Finan Serv,338648.23,25.04,17.38,40.27,211.59
BBG000F86GP6,0,MCO,USD,Common Stock,MOODY'S CORP,2022-01-26,359172,US,324.540000,-0.151,-5.069,-6.373,-18.305,-16.857,-14.548,-16.908,-4.708,-11.558,-15.087,-14.445,2782.00,1.160,33.273,26.954,21.545,22.803,49.775,90,true,INCREASE,0.68,107.00,167.35,25.92,9456.00,26.678,430.125,1.10,1.74,2699.00,50.25,20.90,1778.00,1778.00,2043.00,2731.00,38.04,5371.00,44.46,10.89,false,Commercial Services,60331.99,23.85,20.28,43.62,345.00
BBG000BVMG26,0,MKSI,USD,Common Stock,MKS INSTRUMENTS INC,2022-01-26,302946,US,157.850000,1.153,-0.423,-4.835,-6.686,10.718,-2.891,-9.370,-2.013,-7.892,-4.581,0.327,663.80,1.491,52.818,44.720,32.520,40.478,49.660,83,true,MAINTAIN,0.22,20.86,16.46,15.53,3776.50,13.350,218.275,1.07,4.70,582.20,24.99,11.25,350.10,350.10,428.30,371.50,18.38,2330.00,19.48,7.77,false,Semiconductors,8754.19,12.59,17.23,26.45,43.74
BBG000RTDY25,0,MSCI,USD,Common Stock,MSCI INC,2022-01-26,12429623,US,492.130000,-0.160,-1.735,-4.143,-19.491,-23.478,-14.546,-19.677,-2.743,-11.200,-17.612,-20.130,1026.22,1.599,30.307,30.031,27.443,29.437,49.772,88,true,MAINTAIN,1.04,,,24.00,4068.14,45.869,643.222,1.21,1.93,1004.31,59.24,37.64,601.82,601.82,789.28,1035.21,46.55,1695.39,52.19,9.43,false,Software,40574.50,41.12,12.30,84.36,
BBG000BPH459,0,MSFT,USD,Common Stock,MICROSOFT CORP,2022-01-26,101743,US,296.710000,2.849,0.230,-2.182,-11.348,-4.321,2.650,-11.777,-0.153,-6.073,-9.146,-6.226,78628.00,1.250,36.685,29.385,21.016,24.727,49.805,100,true,MAINTAIN,0.62,49.05,45.85,30.55,244645.00,30.190,374.223,1.03,1.83,83729.00,49.81,23.23,61271.00,61271.00,56118.00,52368.00,33.39,168088.00,41.59,7.44,true,Software,2224395.24,27.54,13.83,24.65,57.95
BBG000NRVRG3,0,MTEM,USD,Common Stock,MOLECULAR TEMPLATES INC,2022-01-26,8720266,US,2.970000,-6.309,-5.414,-11.078,-25.000,-46.196,-57.992,-24.235,-8.163,-19.479,-25.000,-41.525,-96.69,1.216,56.953,93.124,61.124,72.024,49.208,35,true,,,-129.31,-125.93,-83.34,120.18,,11.500,,-2.81,-94.41,-500.96,,-104.92,-104.92,-91.19,-96.37,-483.89,18.84,-535.11,-1.92,false,Biotechnology,167.23,,,20.98,49.46
BBG000F5VVB6,0,NDAQ,USD,Common Stock,NASDAQ INC,2022-01-26,966745,US,169.500000,-3.132,-4.194,-6.410,-17.486,-15.873,-9.154,-19.290,-4.701,-11.811,-15.193,-15.192,1434.00,1.007,17.270,24.267,20.861,22.123,49.835,94,true,INCREASE,0.61,18.63,18.59,9.68,12722.00,21.964,218.667,1.09,1.47,1517.00,52.26,19.60,1187.00,933.00,1064.00,3012.00,36.65,3420.00,42.51,6.47,false,Diversified Finan Serv,28344.13,34.30,22.62,33.24,92.90
BBG00LPXZB46,0,NIO,USD,ADR,NIO INC - ADR,2022-01-26,61454268,US,22.660000,-4.750,-17.148,-20.852,-25.754,-44.008,-47.510,-28.472,-15.302,-23.309,-31.626,-36.442,-2982.56,1.624,56.984,78.796,62.083,75.958,49.330,96,true,,,-60.94,,-8.61,47056.06,,58.625,,0.54,-3061.92,-18.83,,-5299.12,-5299.12,823.21,7899.23,5.06,16257.93,-28.34,0.70,false,Auto Manufacturers,36635.99,,,17.26,34.71
BBG003T1GM03,0,NRZ,USD,REIT,NEW RESIDENTIAL INVESTMENT,2022-01-26,33912106,US,10.550000,0.190,0.476,-2.855,-4.352,-8.816,10.703,-1.494,-0.566,-2.953,-3.785,-4.739,976.56,0.930,14.180,22.819,23.859,32.622,49.828,93,true,MAINTAIN,0.25,12.51,-24.23,2.25,15683.49,6.091,12.889,,,,,,-1410.36,-1410.36,1855.94,-7793.24,320.36,579.33,-111.52,4.47,false,REITS,4922.42,,,77.48,571.53
BBG00R4ZKPN5,0,NTCO,USD,ADR,NATURA &CO HOLDING-ADR,2022-01-26,65288904,US,8.710000,1.871,2.350,12.824,-4.180,-39.723,-62.441,-6.041,4.914,4.361,-5.697,-31.755,945.50,0.480,76.723,61.713,49.496,47.572,49.452,68,true,,,2.02,-0.03,2.56,43071.75,,28.000,-1.45,,3508.45,9.50,,-650.20,-650.20,611.42,-7256.84,1.66,36921.98,2.14,,false,Cosmetics/Personal Care,6008.09,,,29.03,64.61
BBG000BBJQV0,0,NVDA,USD,Common Stock,NVIDIA CORP,2022-01-26,313657,US,227.720000,2.007,-2.576,-9.155,-23.171,-7.869,18.026,-22.573,-3.743,-16.076,-22.030,-13.168,8578.00,2.451,43.215,53.884,45.363,45.778,49.681,100,true,MAINTAIN,0.04,41.95,34.91,28.62,34880.00,45.571,345.249,1.04,1.12,5775.00,34.63,56.77,4332.00,4332.00,4694.00,4694.00,28.15,16675.00,27.18,1.90,false,Semiconductors,569300.00,9.12,1.75,26.81,45.69
BBG000H1RYG7,0,PEGA,USD,Common Stock,PEGASYSTEMS INC,2022-01-26,171977,US,92.830000,-2.612,0.836,-3.773,-15.961,-27.437,-32.062,-16.983,-2.839,-9.209,-14.693,-21.588,-68.47,1.494,51.065,57.212,33.949,35.171,49.536,77,true,MAINTAIN,0.03,-4.41,-6.99,-1.11,1386.93,178.519,151.765,,,-100.87,-9.91,,-61.37,-61.37,-25.93,522.17,-2.55,1017.52,-14.11,-0.32,false,Software,7581.92,,,37.14,109.89
BBG000CGC1X8,0,QCOM,USD,Common Stock,QUALCOMM INC,2022-01-26,106370,US,167.000000,0.937,1.255,-3.172,-8.613,26.573,16.376,-8.678,-0.527,-7.358,-7.344,5.318,9789.00,1.521,47.045,39.473,31.856,36.370,49.709,98,true,INCREASE,0.71,112.83,98.64,34.05,26371.00,15.624,203.961,1.06,1.32,11574.00,34.48,16.57,9043.00,9043.00,8648.00,8649.00,25.76,33566.00,29.16,7.65,false,Semiconductors,187888.62,33.26,11.98,39.52,163.81
BBG000BSWKH7,0,QQQ,USD,ETP,INVESCO QQQ TRUST SERIES 1,2022-01-26,823354,US,344.570000,-0.156,-2.025,-5.978,-13.189,-9.113,-6.491,-13.392,-3.118,-9.413,-11.316,-9.731,,0.977,21.716,24.425,16.824,21.118,49.839,100,true,CUT,0.474106,,,,,,,,,,,,,,,,,,,,,,183001.12,,,,
BBG000BPWTW7,0,RIGL,USD,Common Stock,RIGEL PHARMACEUTICALS INC,2022-01-26,1176875,US,2.390000,-1.646,-1.646,4.825,-15.845,-25.313,-41.422,-9.811,0.759,-4.400,-8.779,-22.671,-10.57,1.050,69.551,65.084,49.592,57.414,49.460,53,true,,,-28.84,-67.72,-16.79,62.56,,7.833,,0.70,-22.91,-21.09,,-29.74,-29.74,-53.45,-43.47,-49.21,108.62,-26.67,-0.32,false,Biotechnology,408.70,,,17.46,56.64
BBG000BDSLD7,0,SAP,USD,ADR,SAP SE-SPONSORED ADR,2022-01-26,118412,US,132.280000,-0.030,-2.592,-3.297,-5.568,-9.229,-4.601,-5.588,-2.108,-4.237,-3.486,-5.560,5848.00,0.874,24.959,19.819,22.086,33.108,49.844,98,true,CUT,2.20116,17.73,18.35,9.10,51493.00,22.755,165.333,1.04,,8454.00,30.92,,5145.00,5145.00,6379.00,5791.00,23.33,27840.00,16.74,,false,Software,162506.54,44.18,26.83,27.17,53.45
BBG0025RWKW5,0,SCHD,USD,ETP,SCHWAB US DVD EQUITY ETF,2022-01-26,27885646,US,77.410000,-0.795,-0.322,-3.031,-2.751,-0.731,1.855,-4.231,-1.316,-3.963,-2.266,-0.670,,0.984,11.134,12.300,11.917,15.565,49.920,100,true,CUT,0.548054,,,,,,,,,,,,,,,,,,,,,,31440.07,,,,
BBG001QVTV19,0,SDIV,USD,ETP,GLOBAL X SUPERDIVIDEND ETF,2022-01-26,25561008,US,12.230000,-0.650,-1.371,-2.472,-1.212,-8.114,-9.407,-0.326,-1.450,-1.724,-1.596,-4.802,,0.983,11.061,13.908,13.453,14.570,49.899,98,true,CUT,0.02834,,,,,,,,,,,,,,,,,,,,,,916.76,,,,
BBG00GQK3WB5,0,SMAR,USD,Common Stock,SMARTSHEET INC-CLASS A,2022-01-26,53740799,US,54.770000,-2.579,-4.880,-7.091,-30.662,-23.065,-26.365,-29.283,-5.637,-17.422,-19.887,-21.457,-146.94,1.997,46.764,55.256,49.635,53.316,49.583,83,true,,,-28.19,-24.57,-24.49,598.14,,92.067,,,-87.63,-22.73,,-114.98,-114.98,-19.82,-135.92,-5.14,385.51,-31.25,-0.16,false,Software,6942.22,,,9.76,16.89
BBG000BSFRF3,0,SNPS,USD,Common Stock,SYNOPSYS INC,2022-01-26,106918,US,288.560000,-1.063,-4.863,-7.554,-21.191,-12.032,1.645,-21.693,-5.416,-14.058,-16.603,-13.370,734.79,1.744,35.471,38.839,29.676,32.917,49.722,89,true,,,14.85,12.45,11.85,6042.83,36.948,388.733,1.00,1.31,1097.01,26.09,39.53,757.52,757.52,1398.86,1370.80,33.27,4204.19,17.48,9.16,false,Software,44276.17,0.0,6.10,7.62,12.59
BBG000BT7ZK6,0,SONY,USD,ADR,SONY GROUP CORP - SP ADR,2022-01-26,101365,US,110.030000,0.100,-1.433,-0.009,-11.166,-5.578,10.817,-12.951,-1.009,-9.632,-9.975,-6.566,987315.00,1.087,49.948,37.987,27.180,28.508,49.683,91,true,CUT,0.262352,13.59,21.13,7.88,10965310.00,12.558,150.560,1.01,1.66,1429124.00,15.88,,1171776.00,1171776.00,837911.00,1517993.00,9.31,8999360.00,10.67,,false,Home Furnishings,138756.83,5.80,0.08,9.32,44.06
BBG001C7TST4,0,SPLK,USD,Common Stock,SPLUNK INC,2022-01-26,20820587,US,113.120000,-2.692,-1.874,-4.765,-2.415,-32.417,-20.124,-2.247,-4.087,-3.605,-5.592,-18.279,-1154.74,1.438,47.952,39.814,45.876,48.693,49.696,93,true,,,-149.73,-48.22,-31.18,3480.84,,164.758,,-31.27,-604.69,-27.12,,-907.98,-907.98,-242.57,335.04,-10.88,2229.39,-35.00,-1.52,false,Software,17962.01,,,46.01,169.38
BBG000BDTBL9,0,SPY,USD,ETP,SPDR S&P 500 ETF TRUST,2022-01-26,7276839,US,433.380000,-0.251,-1.050,-4.066,-7.909,-4.952,-1.732,-8.754,-1.985,-6.458,-6.665,-4.970,,0.987,13.276,16.410,12.757,14.873,49.897,100,true,CUT,1.398185,,,,,,,,,,,,,,,,,,,,,,404920.84,,,,
BBG000QN82F1,0,SUSA,USD,ETP,ISHARES MSCI USA ESG SELECT,2022-01-26,9318709,US,95.250000,-0.595,-1.408,-4.194,-9.242,-6.964,-3.182,-10.353,-2.231,-7.176,-7.929,-6.589,,0.997,12.319,16.854,13.425,15.311,49.898,99,true,INCREASE,0.339026,,,,,,,,,,,,,,,,,,,,,,3995.74,,,,
BBG00KXH5WT4,0,TAN,USD,ETP,INVESCO SOLAR ETF,2022-01-26,60388999,US,62.490000,0.192,-1.961,-6.648,-19.792,-30.327,-24.043,-18.813,-3.702,-12.068,-22.459,-25.472,,1.111,35.077,43.732,38.274,48.018,49.704,97,true,INCREASE,0.451922,,,,,,,,,,,,,,,,,,,,,,2005.18,,,,
